geoid,city,county,reason,newspaper,host
29037,Harrisonville,Cass,"in the list, never crawled",Tribune and Times,www.tribuneandtimes.com
29041,Salisbury,Chariton,"in the list, never crawled",Chariton Marquee,www.charitonmarquee.com
29045,Kahoka,Clark,"in the list, never crawled",Kahoka Hometown Journal,www.htjournal.net
29049,Plattsburg,Clinton,"in the list, never crawled","Clinton County Leader, Plattsburg",www.clintoncountyleader.com
29077,Springfield,Greene,"in the list, never crawled",Springfield Business Journal,www.sbj.net
29085,Hermitage,Hickory,"in the list, never crawled",Hermitage Index,www.hermitageindex.com
29135,Tipton,Moniteau,"in the list, never crawled",Tipton Times,www.tiptontimes.com
29137,Paris,Monroe,"in the list, never crawled",Ralls County Herald-Enterprise,www.monroe-ralls.com
29185,Osceola,St. Clair,"in the list, never crawled",Appleton City Journal,www.stclaircourier.com
29189,Chesterfield,St. Louis,"in the list, never crawled",West & Mid Rivers Newsmagazine,www.westnewsmagazine.com
29047,Lawson,Clay,no web edition to collect,Lawson Review,www.facebook.com/lawsonreview1979
29087,Mound City,Holt,no web edition to collect,Mound City News,www.moundcitynews.com
29095,Oak Grove,Jackson,no web edition to collect,Focus On Oak Grove,www.theodessan.net
29107,Odessa,Lafayette,no web edition to collect,Odessa Odessan,www.theodessan.net
29133,Charleston,Mississippi,no web edition to collect,Charleston Enterprise-Courier,www.enterprisecourier.com
29133,East Prairie,Mississippi,no web edition to collect,East Prairie Eagle,www.enterprisecourier.com
29141,Versailles,Morgan,no web edition to collect,Morgan County Statesman,www.morgancountystatesman.com
29195,Slater,Saline,no web edition to collect,Slater Main Street News,www.slatermainstreetnews.com
29215,Summersville,Texas,no web edition to collect,Summersville Beacon,www.sbeacon.com
