outlet,city,county,host,type,owner,in_sources,source_status,articles,in_blue_book,web_access
Tri-County Ledger,Albany,,,print native,Matthew Pearl,no,,0,yes,unknown
Leader,Arnold,Jefferson,myleaderpaper.com,print native,Leader Publications Inc.,yes,active,163,yes,collected
Greene County Commonwealth,Ash Grove,Greene,www.greenecountycommonwealth.com,print native,Squibb Media,yes,active,206,yes,collected
Boone County Journal,Ashland,Boone,columbiamissourian.com/boonecountyjournal,print native,Missourian Publishing Association,yes,active,901,yes,collected
Aurora Advertiser,Aurora,Lawrence,auroraadvertiser.net,print native,Sexton Media Group Inc.,yes,active,73,yes,collected
Douglas County Herald,Ava,Douglas,www.douglascountyherald.com,print native,Better Newspapers Inc,yes,active,321,yes,collected
Cass County News/The North Cass Herald,Belton,Cass,www.northcassherald.com,print native,Laurie Bassett Edmonds and Allen Edmonds,yes,active,33,yes,collected
Bethany Republican Clipper,Bethany,Harrison,www.bethanyclipper.com,print native,Bethany Printing Co,yes,active,348,yes,collected
Northwest Mo Media,Bethany,DeKalb,www.northwestmoinfo.com,audio broadcast,Carter Media Group,yes,active,1053,no,collected
Bolivar Herald Free Press,Bolivar,Polk,bolivarmonews.com,print native,Carpenter Media Group,yes,active,392,yes,collected
Booneville Daily News,Boonville,Cooper,www.boonvilledailynews.com,print native,CherryRoad Media,yes,active,761,yes,collected
Pike County News/Bowling Green Times,Bowling Green,Pike,www.pikecountynews.com,print native,CherryRoad Media,yes,active,284,yes,collected
KRZK,Branson,Taney,www.legends1063.fm,audio broadcast,KOMC-KRZK,yes,retired,3,no,collected
Buffalo Reflex,Buffalo,Dallas,buffaloreflex.com,print native,Carpenter Media Group,yes,active,200,yes,collected
California Democrat,California,Moniteau,www.californiademocrat.com,print native,"Faughn Media, LLC",yes,active,466,yes,collected
The Reporter,Camdenton,Camden,www.theccreporter.com,print native,Reporter Publishing LLC/Dale Johnson,yes,active,0,yes,never collected
Citizen Observer,Cameron,Clinton,mycameronnews.com,print native,Smith Newspapers,yes,active,394,yes,collected
Press News Journal,Canton,Lewis,lewispnj.com,print native,Reaves & Williams Publishing Group,yes,active,387,yes,collected
KBSI Fox,Cape Girardeau,Cape Girardeau,www.kbsi23.com,video broadcast,Paducah Television Operations LLC,yes,active,77,no,collected
KFVS 12,Cape Girardeau,Cape Girardeau,www.kfvs12.com,video broadcast,Gray Television,yes,active,3726,no,collected
KRCU,Cape Girardeau,Cape Girardeau,www.krcu.org,audio broadcast,Southeast Missouri State University,yes,active,3491,no,collected
Southeast Missourian,Cape Girardeau,Cape Girardeau,www.semissourian.com,print native,Rust Communications,yes,active,2704,yes,collected
The Arrow,Cape Girardeau,Cape Girardeau,www.southeastarrow.com,print native,Southeast Missouri State University,yes,active,427,no,collected
Carrollton Democrat,Carrollton,,www.mainstreetnewsgroup.com,print native,Frank W. Mercer,no,,0,yes,website gone
Carthage Press,Carthage,Jasper,carthagenewsonline.com,print native,RH Media Group,yes,active,426,yes,collected
Pemiscot Press,Caruthersville,Pemiscot,www.pemiscotpress.com,print native,Rust Communications,yes,active,97,yes,collected
Barry County Advertiser,Cassville,Barry,barrycountyadvertiser.com,print native,Lancaster Management Inc.,yes,active,49,no,collected
Barry County Advertiser,Cassville,Barry,www.4bcaonline.com,print native,Melton Publishing Inc,yes,retired,23,yes,collected
Cassville Democrat,Cassville,Barry,www.cassville-democrat.com,print native,Rust Communications,yes,active,638,yes,collected
Centralia Fireside Guard,Centralia,Boone,www.firesideguard.com,print native,CherryRoad Media,yes,active,245,yes,collected
Charleston Enterprise-Courier,Charleston,,www.enterprisecourier.com,print native,Carlin Bennett,no,,0,yes,print or replica only
Mid Rivers Newsmagazine,Chesterfield,St. Charles,midriversnewsmagazine.com,print native,"21 Publishing, LLC",yes,active,43,no,collected
West & Mid Rivers Newsmagazine,Chesterfield,St. Louis,www.westnewsmagazine.com,print native,Tim Weber,yes,active,0,yes,never collected
Constitution-Tribune,Chillicothe,Livingston,www.chillicothenews.com,print native,CherryRoad Media,yes,active,306,yes,collected
Clinton Daily Democrat,Clinton,Henry,www.clintondailydemocrat.com,print native,Clinton Daily Democrat,yes,active,684,yes,collected
ABC 17 KMIZ News,Columbia,Boone,abc17news.com,video broadcast,News-Press & Gazette Co.,yes,paused,6405,no,collected
Columbia Daily Tribune,Columbia,Boone,www.columbiatribune.com,print native,"Gannett Co., Inc.",yes,active,1161,yes,collected
Columbia Missourian,Columbia,Boone,www.columbiamissourian.com,print native,Missourian Publishing Association,yes,active,2349,yes,collected
CoMoBuzz,Columbia,Boone,comobuz.com,digital native,Mike Murphy,yes,active,424,no,collected
KBIA,Columbia,Boone,www.kbia.org,audio broadcast,University of Missouri,yes,active,1998,no,collected
KOMU,Columbia,Boone,www.komu.com,video broadcast,University of Missouri,yes,active,3034,no,collected
Missouri Business Alert,Columbia,Boone,missouribusinessalert.com,digital native,Missouri School of Journalism,yes,active,468,no,collected
The Maneater,Columbia,Boone,themaneater.com,print native,University of Missouri,yes,active,203,no,collected
"Concordian, The",Concordia,,,print native,Kathryn Dohrman,no,,0,yes,unknown
Crane Chronicle/Stone County Republican,Crane,,www.cc-scrnews.com,print native,Karen Fioretti,no,,0,yes,website gone
Stone County Republican / Crane Chronicle,Crane,Stone,stonecountyrepublican.com,print native,Lancaster Management Inc.,yes,active,8,no,collected
Three Rivers Publishing,Cuba,Crawford,threeriverspublishing.com,print native,Three Rivers Publishing,yes,active,66,yes,collected
The Daily/Dexter Statesman,Dexter,Stoddard,dexterstatesman.com,print native,Rust Communications,yes,active,496,yes,collected
The Dixon Pilot,Dixon,Pulaski,www.dixonpilot.com,print native,Blackburn Rick,yes,retired,162,yes,collected
The Prospect News,Doniphan,Ripley,www.theprospectnews.com,print native,Rust Communications,yes,active,938,yes,collected
East Prairie Eagle,East Prairie,,www.enterprisecourier.com,print native,Carlin Bennett,no,,0,yes,print or replica only
The Edina Sentinel,Edina,Knox,www.edinasentinel.com,print native,Sentinel Printing Company,yes,active,270,yes,collected
El Dorado Springs Sun,El Dorado Springs,Cedar,eldoradospringsmo.com,print native,Long Kenny,yes,active,478,yes,collected
"Star, The",El Dorado Springs,,,print native,James Belk,no,,0,yes,unknown
